epoch,articleType_accuracy,articleType_loss,loss,masterCategory_accuracy,masterCategory_loss,subCategory_accuracy,subCategory_loss,val_articleType_accuracy,val_articleType_loss,val_loss,val_masterCategory_accuracy,val_masterCategory_loss,val_subCategory_accuracy,val_subCategory_loss,learning_rate
0,0.9712677597999573,0.00899674091488123,0.044841695576906204,0.1511467546224594,0.003776253666728735,0.22487688064575195,0.032035455107688904,0.9751238226890564,0.009858413599431515,0.07054230570793152,0.15117064118385315,0.006632925011217594,0.2225348949432373,0.05356702581048012,9.999999747378752e-05
1,0.9719431400299072,0.008821173571050167,0.04520042985677719,0.1510341912508011,0.00397321255877614,0.22546784579753876,0.03241457790136337,0.975461483001709,0.00978559534996748,0.07029163837432861,0.15105807781219482,0.006624906789511442,0.22276002168655396,0.053410034626722336,9.999999747378752e-05
2,0.97199946641922,0.008594399318099022,0.044416509568691254,0.1511467546224594,0.0035231795627623796,0.22552412748336792,0.032304439693689346,0.9748986959457397,0.009796456433832645,0.07083965092897415,0.15117064118385315,0.006513826549053192,0.22219720482826233,0.05404379591345787,9.999999747378752e-05
3,0.9723371267318726,0.008700723759829998,0.04383322224020958,0.1511749029159546,0.0036928439512848854,0.22611509263515472,0.0314270481467247,0.9750112295150757,0.009828373789787292,0.07046668976545334,0.15117064118385315,0.006655258126556873,0.22309769690036774,0.053489044308662415,9.999999747378752e-05
4,0.9728999733924866,0.008452942594885826,0.04366770759224892,0.1510341912508011,0.003537367796525359,0.2253834307193756,0.03165367618203163,0.9751238226890564,0.009855578653514385,0.07126422226428986,0.15105807781219482,0.0067442976869642735,0.2229851484298706,0.054172810167074203,9.999999747378752e-05
5,0.9727311134338379,0.008334079757332802,0.04261753708124161,0.1514844447374344,0.0034209347795695066,0.2260025292634964,0.030857058241963387,0.9746735692024231,0.009759391658008099,0.0706465020775795,0.15105807781219482,0.006840004585683346,0.2233228236436844,0.05355459824204445,4.999999873689376e-05
6,0.9736034870147705,0.008307320065796375,0.04314781352877617,0.15094976127147675,0.0038286380004137754,0.22597439587116241,0.030973874032497406,0.9751238226890564,0.009653037413954735,0.06988231837749481,0.15117064118385315,0.006807318422943354,0.22309769690036774,0.05294259265065193,4.999999873689376e-05
7,0.9734627604484558,0.008183538913726807,0.0422513522207737,0.15120303630828857,0.0035810177214443684,0.22577740252017975,0.030448000878095627,0.9752363562583923,0.009663894772529602,0.06989285349845886,0.15117064118385315,0.006755332928150892,0.22366051375865936,0.05299963057041168,4.999999873689376e-05
8,0.9725341200828552,0.008612236939370632,0.043845754116773605,0.15123118460178375,0.003641401184722781,0.22518643736839294,0.03157011792063713,0.9750112295150757,0.009805071167647839,0.07099723815917969,0.1509455144405365,0.006897103972733021,0.2233228236436844,0.05380507931113243,4.999999873689376e-05
9,0.9736597537994385,0.008410411886870861,0.04241003096103668,0.15111862123012543,0.0036446237936615944,0.22543971240520477,0.03038102015852928,0.975461483001709,0.009648006409406662,0.07002965360879898,0.15105807781219482,0.006782840937376022,0.22309769690036774,0.05311685800552368,4.999999873689376e-05
10,0.9725903868675232,0.008543407544493675,0.042917050421237946,0.1511467546224594,0.0036563032772392035,0.22580555081367493,0.030721521005034447,0.9751238226890564,0.009656364098191261,0.07022904604673386,0.15105807781219482,0.006750735454261303,0.22354795038700104,0.05334245413541794,2.499999936844688e-05
11,0.9734627604484558,0.008310317993164062,0.04171973466873169,0.15137188136577606,0.0033737982157617807,0.22574925422668457,0.030042288824915886,0.975348949432373,0.009559503756463528,0.06962817162275314,0.15117064118385315,0.006745117716491222,0.2234353870153427,0.052852969616651535,2.499999936844688e-05
12,0.9730406403541565,0.008316726423799992,0.04253547638654709,0.15151259303092957,0.0032663042657077312,0.22566483914852142,0.03097093105316162,0.975348949432373,0.009630927816033363,0.06985447555780411,0.15117064118385315,0.006822758819907904,0.22366051375865936,0.05292123183608055,2.499999936844688e-05
13,0.9735190868377686,0.008374566212296486,0.042381659150123596,0.1514563113451004,0.003298799507319927,0.2264527976512909,0.03067700006067753,0.975348949432373,0.009608166292309761,0.07013985514640808,0.15117064118385315,0.006851543672382832,0.223885640501976,0.0531957782804966,2.499999936844688e-05
14,0.972027599811554,0.008393853902816772,0.04166294261813164,0.15106233954429626,0.003639979287981987,0.2262839525938034,0.029634006321430206,0.9750112295150757,0.009627099148929119,0.06999988108873367,0.15117064118385315,0.0068544670939445496,0.22366051375865936,0.053035981953144073,2.499999936844688e-05
15,0.9727029800415039,0.008390541188418865,0.04273834824562073,0.15128746628761292,0.0032378851901739836,0.22642464935779572,0.031075380742549896,0.9751238226890564,0.009586207568645477,0.06985804438591003,0.15105807781219482,0.0068047442473471165,0.22411076724529266,0.05298784747719765,1.249999968422344e-05
16,0.9736316204071045,0.008252352476119995,0.04239286854863167,0.15137188136577606,0.0031421880703419447,0.22498944401741028,0.0309807937592268,0.9746735692024231,0.009610609151422977,0.06998065114021301,0.15117064118385315,0.006836452521383762,0.22411076724529266,0.053054455667734146,1.249999968422344e-05
17,0.9735190868377686,0.008319039829075336,0.041906002908945084,0.15120303630828857,0.0034277760423719883,0.22611509263515472,0.030230265110731125,0.9755740761756897,0.00957999937236309,0.06979344040155411,0.15105807781219482,0.006818545050919056,0.22411076724529266,0.05291871726512909,1.249999968422344e-05
18,0.9728999733924866,0.008153668604791164,0.04112325608730316,0.15140002965927124,0.0030516223050653934,0.22670605778694153,0.029890218749642372,0.975348949432373,0.009575596079230309,0.06982330232858658,0.15117064118385315,0.006831776816397905,0.22411076724529266,0.05294005945324898,6.24999984211172e-06
19,0.9736878871917725,0.008313053287565708,0.04202815890312195,0.1514563113451004,0.003274401417002082,0.22642464935779572,0.030448686331510544,0.975461483001709,0.009585058316588402,0.06985783576965332,0.15105807781219482,0.006803624797612429,0.2242233157157898,0.05299369990825653,6.24999984211172e-06
20,0.9728436470031738,0.008365919813513756,0.04160403087735176,0.1513155996799469,0.0035157271195203066,0.2260025292634964,0.029686996713280678,0.975348949432373,0.00959231611341238,0.06995032727718353,0.15105807781219482,0.006811036262661219,0.22433587908744812,0.05306948721408844,6.24999984211172e-06
21,0.9727311134338379,0.008211744017899036,0.04062377288937569,0.15120303630828857,0.003491003531962633,0.22695933282375336,0.02892426587641239,0.975348949432373,0.009571924805641174,0.06980688869953156,0.15117064118385315,0.006810982711613178,0.22411076724529266,0.05294682830572128,3.12499992105586e-06
